stride , sum, time (msec), rate (MB/s)
1, 1000000.000000, 1.000000, 7629.394531
2, 1000000.000000, 2.000000, 3814.697266
3, 1000000.000000, 1.000000, 7629.394531
4, 1000000.000000, 1.000000, 7629.394531
5, 1000000.000000, 2.000000, 3814.697266
6, 1000000.000000, 2.000000, 3814.697266
7, 1000000.000000, 4.000000, 1907.348633
8, 1000000.000000, 3.000000, 2543.131510
9, 1000000.000000, 4.000000, 1907.348633
10, 1000000.000000, 5.000000, 1525.878906
11, 1000000.000000, 17.000000, 448.787914
12, 1000000.000000, 7.000000, 1089.913504
13, 1000000.000000, 6.000000, 1271.565755
14, 1000000.000000, 7.000000, 1089.913504
15, 1000000.000000, 6.000000, 1271.565755
16, 1000000.000000, 7.000000, 1089.913504
17, 1000000.000000, 6.000000, 1271.565755
18, 1000000.000000, 7.000000, 1089.913504
19, 1000000.000000, 6.000000, 1271.565755
20, 1000000.000000, 6.000000, 1271.565755
